root	clade_name
1	Homo
2	Pan
3	Gorilla
4	Ponginae
5	Hylobatidae
6	Cercopithecoidea
7	Platyrrhini
8	Tarsiiformes
9	Strepsirrhini
10	Dermoptera
11	Scandentia
12	Glires
13	Laurasiatheria
14	Afrotheria (6); Xenarthra (1)
15	Metatheria
16	Prototheria
17	Sauropsida
18	Amphibia
19	Coelacanthimorpha
20	Actinopterygii
21	Tunicata
22	Cephalochordata
23	Echinodermata (1); Hemichordata (1)
24	Ecdysozoa (43); Spiralia (2)
25	Spiralia
26	Cnidaria
27	Placozoa
28	Porifera
29	Eumetazoa
30	Opisthokonta (5); Apusozoa (1); Cryptophyceae (1)
31	Opisthokonta
32	Amoebozoa
33	Viridiplantae
34	Discoba (6); Metamonada (1); Sar (1)
35	Rhodophyta
36	Sar (38); Haptista (1)
37	Metamonada
